"repo";"nb_user_repo";"nb_user_repo_with_social";"Rs"
"applicationsonline/librarian";1;1;1
"LIFX/lifx-gem";1;1;1
"litaio/lita";2;2;1
"nateware/redis-objects";3;1;0.333333333333333
"elastic/logstash";2;2;1
"lotus/validations";1;1;1
"moiristo/deep_cloneable";3;1;0.333333333333333
"basecamp/mail_view";1;1;1
"mailboxer/mailboxer";1;1;1
"railsbp/rails_best_practices";3;2;0.666666666666667
"middleman/middleman";1;1;1
"middleman/middleman-livereload";1;0;0
"middleman/middleman-syntax";1;0;0
"janko-m/sinatra-activerecord";1;1;1
"rstacruz/sinatra-assetpack";2;0;0
"eMancu/toml-rb";2;2;1
"twilio/twilio-ruby";1;0;0
"cowboyd/therubyrhino";1;0;0
"meskyanichi/mongoid-paperclip";1;0;0
"getsentry/raven-ruby";1;1;1
"mbj/mutant";1;1;1
"capistrano/rails";1;1;1
"capistrano/rbenv";1;1;1
"maxdemarzi/neography";1;1;1
"ryanb/nested_form";1;1;1
"skyeagle/nested_set";1;1;1
"rethinkdb/rethinkdb";2;1;0.5
"zk-ruby/zk";1;1;1
"ConradIrwin/pry-rescue";1;0;0
"websocket-rails/websocket-rails";1;1;1
"ruby-protobuf/protobuf";2;1;0.5
"YorickPeterse/oga";1;1;1
"noahd1/oink";1;0;0
"intridea/omniauth-oauth2";2;1;0.5
"onelogin/ruby-saml";1;1;1
"opal/opal";1;1;1
"realestate-com-au/pact";1;1;1
"apotonick/reform";1;1;1
"webmachine/webmachine-ruby";1;1;1
"RolifyCommunity/rolify";1;0;0
"hgmnz/truncate_html";1;0;0
"jwhitehorn/pi_piper";1;0;0
"ianwhite/pickle";1;0;0
"heroku/rack-timeout";1;1;1
"fedora-ruby/gem2rpm";1;1;1
"redis-store/redis-store";1;0;0
"pusher/pusher-http-ruby";2;1;0.5
"burtlo/yard-cucumber";1;0;0
"evrone/quiet_assets";1;0;0
"puppetlabs/r10k";1;1;1
"nov/rack-oauth2";1;0;0
"cldwalker/ripl";2;2;1
"jruby/warbler";1;0;0
"reactjs/react-rails";1;1;1
"facebook/react";2;2;1
"opal/opal-browser";1;1;1
"nevans/resque-pool";1;0;0
"philostler/rspec-sidekiq";1;1;1
"guilhermesad/rspotify";1;0;0
"ryantate/rturk";1;1;1
"rodjek/rspec-puppet";1;1;1
"jeremytregunna/ruby-trello";1;0;0
"delano/rye";1;1;1
"jmettraux/rufus-tokyo";1;0;0
"ngty/sourcify";1;1;1
"yaroslav/russian";1;0;0
"inukshuk/bibtex-ruby";1;1;1
"rdp/ruby_gnuplot";1;1;1
"sciruby/statsample";1;1;1
"nunit/nunit";1;1;1
"ezkl/sniffles";1;0;0
"brainspec/enumerize";1;1;1
"softlayer/softlayer-ruby";1;1;1
"romul/spree_address_book";1;1;1
"spree-contrib/spree_editor";1;1;1
"cavalle/steak";2;0;0
"honeybadger-io/honeybadger-ruby";1;0;0
"PerfectlyNormal/tinymce-rails-imageupload";1;0;0
"NUBIC/surveyor";1;1;1
"spree/spree";1;1;1
"modeset/teaspoon";1;0;0
"cjheath/geoip";1;0;0
"jruby/jruby-rack";1;1;1
